"film_id","length","replacement_cost","case"
520,91,"28.99","True"
521,147,"28.99","True"
522,137,"9.99","True"
523,174,"21.99","True"
560,62,"21.99","True"
524,50,"13.99","True"
525,140,"29.99","True"
526,120,"10.99","True"
527,85,"24.99","True"
528,155,"25.99","True"
529,67,"12.99","True"
530,108,"27.99","True"
531,137,"18.99","True"
532,80,"28.99","True"
533,98,"21.99","True"
534,70,"18.99","True"
535,181,"21.99","True"
536,65,"18.99","True"
537,75,"29.99","True"
538,162,"19.99","True"
539,152,"21.99","True"
540,97,"10.99","True"
541,74,"21.99","True"
561,123,"26.99","True"
542,52,"28.99","True"
543,116,"20.99","True"
544,147,"11.99","True"
545,178,"14.99","True"
546,98,"27.99","True"
547,117,"19.99","True"
548,53,"27.99","True"
549,171,"28.99","True"
550,74,"22.99","True"
551,138,"9.99","True"
552,130,"15.99","True"
553,136,"12.99","True"
554,159,"22.99","True"
555,133,"25.99","True"
556,127,"26.99","True"
557,177,"27.99","True"
558,71,"18.99","True"
559,114,"22.99","True"
562,151,"12.99","True"
563,165,"16.99","True"
564,161,"11.99","True"
565,56,"9.99","True"
566,72,"20.99","True"
567,80,"26.99","True"
568,77,"11.99","True"
569,147,"18.99","True"
570,104,"20.99","True"
571,161,"26.99","True"
572,64,"9.99","True"
573,105,"22.99","True"
574,86,"19.99","True"
575,48,"27.99","True"
576,122,"13.99","True"
577,64,"10.99","True"
578,142,"16.99","True"
579,149,"22.99","True"
580,166,"12.99","True"
581,59,"16.99","True"
582,162,"19.99","True"
583,164,"26.99","True"
584,180,"26.99","True"
585,105,"25.99","True"
586,60,"27.99","True"
587,77,"20.99","True"
588,175,"11.99","True"
589,74,"20.99","True"
590,135,"17.99","True"
591,182,"20.99","True"
592,107,"28.99","True"
593,158,"13.99","True"
594,126,"22.99","True"
595,83,"20.99","True"
596,171,"25.99","True"
597,184,"12.99","True"
598,57,"22.99","True"
599,103,"20.99","True"
600,166,"16.99","True"
601,79,"20.99","True"
602,146,"14.99","True"
603,53,"27.99","True"
604,160,"10.99","True"
605,157,"13.99","True"
606,160,"15.99","True"
607,50,"18.99","True"
608,166,"11.99","True"
609,185,"23.99","True"
610,129,"17.99","True"
611,73,"17.99","True"
612,180,"10.99","True"
613,92,"19.99","True"
614,178,"11.99","True"
615,180,"21.99","True"
616,92,"19.99","True"
617,50,"24.99","True"
618,132,"21.99","True"
619,161,"20.99","True"
620,131,"23.99","True"
621,75,"23.99","True"
622,159,"25.99","True"
623,75,"9.99","True"
624,149,"25.99","True"
625,83,"18.99","True"
626,57,"12.99","True"
627,67,"9.99","True"
628,172,"24.99","True"
629,128,"9.99","True"
630,48,"19.99","True"
631,64,"11.99","True"
632,145,"10.99","True"
633,54,"10.99","True"
634,48,"14.99","True"
635,58,"15.99","True"
636,161,"12.99","True"
637,131,"16.99","True"
638,156,"23.99","True"
639,92,"9.99","True"
640,102,"21.99","True"
641,76,"21.99","True"
642,120,"13.99","True"
643,118,"22.99","True"
644,115,"29.99","True"
645,118,"18.99","True"
646,169,"12.99","True"
647,129,"18.99","True"
648,148,"17.99","True"
649,85,"14.99","True"
650,144,"27.99","True"
651,84,"20.99","True"
652,126,"14.99","True"
653,102,"15.99","True"
654,93,"19.99","True"
655,109,"22.99","True"
656,128,"9.99","True"
657,48,"12.99","True"
658,121,"19.99","True"
659,109,"14.99","True"
660,107,"11.99","True"
661,157,"17.99","True"
662,118,"9.99","True"
663,99,"29.99","True"
664,65,"12.99","True"
665,175,"22.99","True"
666,145,"27.99","True"
667,160,"20.99","True"
668,80,"25.99","True"
669,74,"10.99","True"
670,48,"17.99","True"
671,99,"27.99","True"
672,82,"17.99","True"
673,118,"19.99","True"
674,99,"11.99","True"
675,60,"17.99","True"
676,137,"16.99","True"
677,136,"25.99","True"
678,77,"23.99","True"
679,50,"17.99","True"
680,103,"21.99","True"
681,100,"20.99","True"
682,134,"17.99","True"
683,60,"19.99","True"
684,173,"11.99","True"
685,132,"10.99","True"
686,84,"9.99","True"
687,138,"15.99","True"
688,61,"12.99","True"
689,137,"14.99","True"
690,185,"25.99","True"
691,159,"29.99","True"
692,179,"10.99","True"
693,115,"16.99","True"
694,98,"15.99","True"
695,144,"12.99","True"
696,114,"20.99","True"
697,53,"16.99","True"
698,71,"29.99","True"
699,106,"26.99","True"
700,115,"13.99","True"
701,155,"11.99","True"
702,89,"12.99","True"
703,100,"18.99","True"
704,121,"25.99","True"
705,88,"9.99","True"
706,163,"22.99","True"
707,177,"29.99","True"
708,112,"19.99","True"
709,147,"19.99","True"
710,120,"18.99","True"
711,154,"18.99","True"
712,82,"11.99","True"
713,74,"14.99","True"
714,73,"29.99","True"
715,147,"25.99","True"
716,136,"26.99","True"
717,97,"23.99","True"
718,73,"24.99","True"
719,182,"11.99","True"
720,179,"20.99","True"
721,182,"23.99","True"
722,123,"26.99","True"
723,82,"29.99","True"
724,110,"15.99","True"
725,167,"25.99","True"
726,61,"29.99","True"
727,117,"12.99","True"
728,63,"26.99","True"
729,177,"28.99","True"
730,46,"28.99","True"
731,153,"29.99","True"
732,58,"17.99","True"
733,149,"29.99","True"
734,158,"12.99","True"
735,102,"26.99","True"
736,134,"21.99","True"
737,102,"28.99","True"
738,178,"27.99","True"
739,145,"17.99","True"
740,153,"13.99","True"
741,81,"28.99","True"
742,101,"25.99","True"
743,60,"27.99","True"
744,89,"23.99","True"
745,162,"23.99","True"
746,118,"10.99","True"
747,171,"9.99","True"
748,109,"16.99","True"
749,153,"19.99","True"
750,145,"25.99","True"
751,181,"17.99","True"
752,101,"27.99","True"
754,150,"17.99","True"
755,99,"11.99","True"
756,80,"10.99","True"
757,106,"28.99","True"
758,125,"11.99","True"
759,73,"29.99","True"
760,110,"21.99","True"
761,154,"23.99","True"
762,154,"29.99","True"
763,75,"26.99","True"
764,150,"28.99","True"
765,182,"18.99","True"
766,84,"25.99","True"
767,183,"13.99","True"
768,102,"11.99","True"
769,151,"21.99","True"
770,147,"13.99","True"
788,104,"15.99","True"
771,137,"23.99","True"
772,80,"24.99","True"
773,112,"28.99","True"
774,182,"22.99","True"
775,110,"18.99","True"
776,90,"11.99","True"
777,158,"10.99","True"
778,109,"24.99","True"
779,54,"23.99","True"
780,98,"15.99","True"
781,127,"15.99","True"
782,60,"26.99","True"
783,93,"22.99","True"
784,47,"20.99","True"
785,80,"20.99","True"
786,113,"14.99","True"
787,125,"12.99","True"
789,79,"15.99","True"
790,67,"22.99","True"
791,167,"24.99","True"
792,154,"15.99","True"
793,139,"14.99","True"
794,52,"28.99","True"
795,111,"23.99","True"
796,135,"12.99","True"
797,67,"23.99","True"
798,74,"11.99","True"
799,51,"26.99","True"
800,126,"19.99","True"
801,152,"19.99","True"
802,132,"15.99","True"
803,179,"29.99","True"
804,129,"13.99","True"
805,64,"12.99","True"
806,137,"25.99","True"
807,87,"25.99","True"
808,84,"10.99","True"
809,156,"14.99","True"
810,147,"21.99","True"
811,60,"29.99","True"
812,50,"13.99","True"
813,184,"18.99","True"
814,110,"15.99","True"
815,74,"14.99","True"
816,62,"27.99","True"
817,185,"27.99","True"
818,180,"17.99","True"
819,165,"29.99","True"
820,184,"11.99","True"
821,184,"17.99","True"
822,169,"12.99","True"
823,143,"21.99","True"
824,52,"19.99","True"
825,165,"22.99","True"
826,124,"19.99","True"
827,141,"22.99","True"
828,79,"12.99","True"
829,138,"12.99","True"
830,149,"23.99","True"
831,138,"20.99","True"
832,175,"16.99","True"
833,134,"20.99","True"
834,151,"26.99","True"
835,112,"13.99","True"
836,136,"14.99","True"
837,85,"19.99","True"
838,112,"25.99","True"
839,130,"23.99","True"
840,75,"26.99","True"
841,181,"9.99","True"
842,113,"13.99","True"
843,143,"15.99","True"
844,140,"16.99","True"
845,48,"9.99","True"
846,93,"9.99","True"
847,160,"10.99","True"
848,94,"19.99","True"
849,57,"28.99","True"
850,163,"27.99","True"
851,151,"19.99","True"
852,103,"27.99","True"
853,139,"12.99","True"
890,172,"14.99","True"
854,119,"22.99","True"
855,132,"28.99","True"
856,73,"11.99","True"
857,144,"24.99","True"
858,127,"21.99","True"
859,114,"20.99","True"
860,93,"13.99","True"
861,111,"12.99","True"
862,53,"25.99","True"
863,141,"9.99","True"
864,92,"21.99","True"
865,135,"19.99","True"
866,48,"28.99","True"
867,58,"10.99","True"
868,114,"27.99","True"
869,47,"22.99","True"
870,123,"12.99","True"
871,176,"19.99","True"
891,69,"13.99","True"
872,185,"27.99","True"
873,108,"13.99","True"
874,155,"13.99","True"
875,173,"9.99","True"
876,91,"11.99","True"
877,64,"23.99","True"
878,74,"25.99","True"
879,148,"20.99","True"
880,152,"9.99","True"
881,71,"13.99","True"
882,99,"24.99","True"
883,53,"17.99","True"
884,88,"11.99","True"
885,179,"22.99","True"
886,184,"9.99","True"
887,135,"28.99","True"
888,53,"9.99","True"
889,111,"28.99","True"
892,104,"18.99","True"
893,91,"11.99","True"
894,68,"23.99","True"
895,142,"21.99","True"
896,157,"10.99","True"
897,179,"27.99","True"
898,152,"18.99","True"
899,144,"14.99","True"
900,136,"17.99","True"
901,142,"29.99","True"
902,170,"22.99","True"
903,139,"13.99","True"
904,71,"26.99","True"
905,132,"10.99","True"
906,171,"27.99","True"
907,168,"10.99","True"
908,110,"11.99","True"
909,102,"28.99","True"
910,87,"19.99","True"
911,64,"14.99","True"
912,52,"9.99","True"
913,115,"20.99","True"
914,61,"13.99","True"
915,92,"9.99","True"
916,80,"10.99","True"
917,152,"24.99","True"
918,152,"23.99","True"
919,82,"17.99","True"
920,62,"16.99","True"
921,172,"29.99","True"
922,107,"22.99","True"
923,78,"12.99","True"
924,129,"15.99","True"
925,164,"27.99","True"
926,120,"11.99","True"
927,174,"16.99","True"
928,84,"16.99","True"
929,128,"21.99","True"
930,145,"23.99","True"
931,48,"9.99","True"
932,73,"21.99","True"
933,126,"11.99","True"
934,122,"20.99","True"
935,142,"17.99","True"
936,123,"21.99","True"
937,85,"14.99","True"
938,173,"14.99","True"
939,90,"17.99","True"
940,64,"19.99","True"
941,145,"10.99","True"
942,174,"27.99","True"
943,76,"27.99","True"
944,179,"29.99","True"
945,164,"22.99","True"
946,144,"14.99","True"
947,59,"16.99","True"
948,139,"22.99","True"
949,157,"27.99","True"
950,132,"12.99","True"
951,78,"28.99","True"
952,152,"17.99","True"
953,112,"9.99","True"
954,73,"18.99","True"
955,135,"19.99","True"
956,107,"23.99","True"
957,80,"26.99","True"
958,178,"19.99","True"
959,83,"10.99","True"
960,128,"15.99","True"
961,161,"22.99","True"
962,85,"18.99","True"
963,78,"12.99","True"
964,61,"17.99","True"
965,112,"28.99","True"
966,70,"14.99","True"
967,134,"26.99","True"
968,79,"19.99","True"
969,159,"29.99","True"
970,52,"11.99","True"
971,109,"11.99","True"
972,59,"24.99","True"
973,183,"27.99","True"
974,181,"24.99","True"
975,137,"22.99","True"
976,111,"12.99","True"
977,85,"25.99","True"
978,98,"12.99","True"
979,100,"10.99","True"
980,75,"12.99","True"
981,55,"13.99","True"
982,126,"23.99","True"
983,105,"18.99","True"
984,126,"20.99","True"
985,111,"19.99","True"
986,85,"24.99","True"
987,116,"13.99","True"
988,139,"26.99","True"
989,74,"22.99","True"
990,171,"13.99","True"
991,185,"26.99","True"
992,176,"17.99","True"
993,178,"10.99","True"
994,100,"29.99","True"
995,86,"11.99","True"
996,183,"9.99","True"
997,179,"14.99","True"
998,105,"10.99","True"
999,101,"28.99","True"
1000,50,"18.99","True"
